URL,Title,Date,Venue
https://www.axs.com/events/646727/the-messi-experience-a-dream-come-true-tickets,The Messi Experience: A Dream Come True,"StartingWED JUL 3, 2024 - 10:00 AM Starting WED JUL WED - 10:00 AM The Stage at Casitas, Los Angeles, CA","The Stage at Casitas, Los Angeles, CA"
https://www.axs.com/events/557734/toms-elton-tribute-a-tribute-to-elton-john-tickets,Toms Elton Tribute - A Tribute to Elton John,"MON AUG 5, 2024 - 6:00 PM MON AUG MON - 6:00 PM Troubadour, West Hollywood, CA","Troubadour, West Hollywood, CA"
https://www.axs.com/events/606714/inyeccion-tickets,Inyeccion,"MON AUG 5, 2024 - 7:00 PM MON AUG MON - 7:00 PM The Moroccan Lounge, Los Angeles, CA","The Moroccan Lounge, Los Angeles, CA"
https://www.axs.com/events/515435/philadelphia-phillies-at-los-angeles-dodgers-tickets,Philadelphia Phillies at Los Angeles Dodgers,"MON AUG 5, 2024 - 7:10 PM MON AUG MON - 7:10 PM Dodger Stadium, Los Angeles, CA","Dodger Stadium, Los Angeles, CA"
https://www.axs.com/events/544587/philadelphia-phillies-at-los-angeles-dodgers-parking-tickets,Philadelphia Phillies at Los Angeles Dodgers	Parking,"MON AUG 5, 2024 - 7:11 PM MON AUG MON - 7:11 PM Dodger Stadium, Los Angeles, CA","Dodger Stadium, Los Angeles, CA"
https://www.axs.com/events/541624/49-winchester-tickets,49 Winchester ,"MON AUG 5, 2024 - 8:00 PM MON AUG MON - 8:00 PM El Rey Theatre, Los Angeles, CA","El Rey Theatre, Los Angeles, CA"
https://www.axs.com/events/578484/fast-times-tickets,Fast Times,"MON AUG 5, 2024 - 8:00 PM MON AUG MON - 8:00 PM Whisky a Go Go, Los Angeles, CA","Whisky a Go Go, Los Angeles, CA"
https://www.axs.com/events/620701/pageant-of-the-masters-tickets,Pageant of the Masters,"MON AUG 5, 2024 - 8:30 PM MON AUG MON - 8:30 PM Irvine Bowl, Laguna Beach, CA","Irvine Bowl, Laguna Beach, CA"
https://www.axs.com/events/542429/fresno-grizzlies-at-rancho-cucamonga-quakes-tickets,Fresno Grizzlies at Rancho Cucamonga Quakes,"TUE AUG 6, 2024 - 6:30 PM TUE AUG TUE - 6:30 PM LoanMart Field, Rancho Cucamonga, CA","LoanMart Field, Rancho Cucamonga, CA"
https://www.axs.com/events/560742/company-tickets,Company,"TUE AUG 6, 2024 - 6:30 PM TUE AUG TUE - 6:30 PM Pantages Theatre - CA, Los Angeles, CA","Pantages Theatre - CA, Los Angeles, CA"
https://www.axs.com/events/606687/re6ce-tickets,re6ce,"TUE AUG 6, 2024 - 6:30 PM TUE AUG TUE - 6:30 PM The Moroccan Lounge, Los Angeles, CA","The Moroccan Lounge, Los Angeles, CA"
https://www.axs.com/events/591808/lucki-tickets,Lucki,"TUE AUG 6, 2024 - 7:00 PM TUE AUG TUE - 7:00 PM House of Blues Anaheim, Anaheim, CA","House of Blues Anaheim, Anaheim, CA"
https://www.axs.com/events/616632/all-my-rowdy-friends-celebrating-the-music-of-elliott-smith-tickets,All My Rowdy Friends: Celebrating the Music of Elliott Smith,"TUE AUG 6, 2024 - 7:00 PM TUE AUG TUE - 7:00 PM The Regent, Los Angeles, CA","The Regent, Los Angeles, CA"
https://www.axs.com/events/625129/country-night-tickets,Country Night,"TUE AUG 6, 2024 - 7:00 PM TUE AUG TUE - 7:00 PM The Canyon Montclair, Montclair, CA","The Canyon Montclair, Montclair, CA"
